t_s,df_hz
9.21,-0.03713884746170194
9.22,-0.03713884374693934
9.23,-0.037138839156229154
9.24,-0.037138833642000026
9.25,-0.03713882715847118
9.26,-0.03713881966178164
9.27,-0.03713881111011649
9.28,-0.03713880146376475
9.29,-0.037138790685213675
9.3,-0.037138778739309694
9.31,-0.037138765593151025
9.32,-0.03713875121635869
9.33,-0.037138735580968286
9.34,-0.03713871866155765
9.35,-0.037138700435256196
9.36,-0.03713868088179973
9.37,-0.03713865998358066
9.38,-0.03713863772556211
9.39,-0.03713861409541278
9.4,-0.03713858908340672
9.41,-0.037138562682493506
9.42,-0.03713853488824804
9.43,-0.0371385056988519
9.44,-0.03713847511507456
9.45,-0.03713844314022657
9.46,-0.037138409780166894
9.47,-0.03713837504319413
9.48,-0.0371383389400444
9.49,-0.03713830148378504
9.5,-0.03713826268982148
9.51,-0.037138222575777695
9.52,-0.037138181161462
9.53,-0.03713813846877977
9.54,-0.03713809452157688
9.55,-0.037138049345703514
9.56,-0.03713800296882604
9.57,-0.03713795542031925
9.58,-0.03713790673128064
9.59,-0.03713785693434645
9.6,-0.03713780606360026
9.61,-0.0371377541544753
9.62,-0.03713770124371226
9.63,-0.03713764736918162
9.64,-0.037137592569808184
9.65,-0.037137536885454986
9.66,-0.037137480356838726
9.67,-0.03713742302542571
9.68,-0.037137364933278245
9.69,-0.03713730612300277
9.7,-0.03713724663763206
9.71,-0.03713718652051809
9.72,-0.037137125815194544
9.73,-0.03713706456534517
9.74,-0.03713700281464862
9.75,-0.03713694060668338
9.76,-0.03713687798484138
9.77,-0.03713681499227296
9.78,-0.03713675167173725
9.79,-0.03713668806552603
9.8,-0.03713662421540433
9.81,-0.0371365601625118
9.82,-0.03713649594727426
